date|location|total_cases|new_cases|total_deaths|new_deaths|count
2020-01-28|Italy|0|0|0|0|96
2020-01-29|Italy|0|0|0|0|128
2020-01-30|Italy|0|0|0|0|201
2020-01-31|Italy|3|3|0|0|94
2020-02-01|Italy|3|0|0|0|86
2020-02-02|Italy|3|0|0|0|56
2020-02-03|Italy|3|0|0|0|95
2020-02-04|Italy|3|0|0|0|94
2020-02-05|Italy|3|0|0|0|90
2020-02-06|Italy|3|0|0|0|79
2020-02-07|Italy|3|0|0|0|115
2020-02-08|Italy|3|0|0|0|72
2020-02-09|Italy|3|0|0|0|35
2020-02-10|Italy|3|0|0|0|83
2020-02-11|Italy|3|0|0|0|71
2020-02-12|Italy|3|0|0|0|85
2020-02-13|Italy|3|0|0|0|100
2020-02-14|Italy|3|0|0|0|118
2020-02-15|Italy|3|0|0|0|76
2020-02-16|Italy|3|0|0|0|39
2020-02-17|Italy|3|0|0|0|71
2020-02-18|Italy|3|0|0|0|115
2020-02-19|Italy|3|0|0|0|104
2020-02-20|Italy|3|0|0|0|72
2020-02-21|Italy|3|0|0|0|59
2020-02-22|Italy|17|14|0|0|53
2020-02-23|Italy|79|62|2|2|24
2020-02-24|Italy|132|53|2|0|61
2020-02-25|Italy|229|97|6|4|65
2020-02-26|Italy|322|93|11|5|85
2020-02-27|Italy|400|78|12|1|139
2020-02-28|Italy|650|250|17|5|101
2020-02-29|Italy|888|238|21|4|52
2020-03-01|Italy|1128|240|29|8|41
2020-03-02|Italy|1689|561|35|6|109
2020-03-03|Italy|2036|347|52|17|168
2020-03-04|Italy|2502|466|80|28|108
2020-03-05|Italy|3089|587|107|27|130
2020-03-06|Italy|3858|769|148|41|132
2020-03-07|Italy|4636|778|197|49|60
2020-03-08|Italy|5883|1247|233|36|50
2020-03-09|Italy|7375|1492|366|133|106
2020-03-10|Italy|9172|1797|464|98|126
2020-03-11|Italy|10149|977|631|167|177
2020-03-12|Italy|12462|2313|827|196|243
2020-03-13|Italy|15113|2651|1016|189|265
2020-03-14|Italy|17660|2547|1268|252|102
2020-03-15|Italy|21157|3497|1441|173|110
2020-03-16|Italy|23980|2823|1811|370|248
2020-03-17|Italy|27980|4000|2158|347|331
2020-03-18|Italy|31506|3526|2505|347|325
2020-03-19|Italy|35713|4207|2978|473|277
2020-03-20|Italy|41035|5322|3407|429|344
2020-03-21|Italy|47021|5986|4032|625|395
2020-03-22|Italy|53578|6557|4827|795|192
2020-03-23|Italy|59138|5560|5476|649|280
2020-03-24|Italy|63927|4789|6077|601|270
2020-03-25|Italy|69176|5249|6820|743|356
2020-03-26|Italy|74386|5210|7505|685|479
2020-03-27|Italy|80539|6153|8165|660|515
2020-03-28|Italy|86498|5959|9136|971|320
2020-03-29|Italy|92472|5974|10023|887|271
2020-03-30|Italy|97689|5217|10781|758|402
2020-03-31|Italy|101739|4050|11591|810|413
2020-04-01|Italy|105792|4053|12430|839|538
2020-04-02|Italy|110574|4782|13157|727|825
2020-04-03|Italy|115242|4668|13917|760|620
2020-04-04|Italy|119827|4585|14681|764|288
2020-04-05|Italy|124632|4805|15362|681|272
2020-04-06|Italy|128948|4316|15889|527|383
2020-04-07|Italy|132547|3599|16525|636|324
2020-04-08|Italy|135586|3039|17129|604|396
2020-04-09|Italy|139422|3836|17669|540|494
2020-04-10|Italy|143626|4204|18281|612|387
2020-04-11|Italy|147577|3951|18851|570|231
2020-04-12|Italy|152271|4694|19470|619|152
2020-04-13|Italy|156363|4092|19901|431|209
2020-04-14|Italy|159516|3153|20465|564|288
2020-04-15|Italy|162488|2972|21069|604|318
2020-04-16|Italy|165155|2667|21647|578|378
2020-04-17|Italy|168941|3786|22172|525|307
2020-04-18|Italy|172434|3493|22747|575|186
2020-04-19|Italy|175925|3491|23227|480|200
2020-04-20|Italy|178972|3047|23660|433|298
2020-04-21|Italy|181228|2256|24114|454|288
2020-04-22|Italy|183957|2729|24648|534|270
2020-04-23|Italy|187327|3370|25085|437|344
2020-04-24|Italy|189973|2646|25549|464|343
2020-04-25|Italy|192994|3021|25969|420|175
2020-04-26|Italy|195351|2357|26384|415|152
2020-04-27|Italy|197675|2324|26644|260|301
2020-04-28|Italy|199414|1739|26977|333|318
2020-04-29|Italy|201505|2091|27359|382|303
2020-04-30|Italy|203591|2086|27682|323|599
