date|location|total_cases|new_cases|total_deaths|new_deaths|count
2020-01-28|United States|5|0|0|0|274
2020-01-29|United States|5|0|0|0|253
2020-01-30|United States|5|0|0|0|365
2020-01-31|United States|6|1|0|0|351
2020-02-01|United States|7|1|0|0|328
2020-02-02|United States|8|1|0|0|340
2020-02-03|United States|11|3|0|0|389
2020-02-04|United States|11|0|0|0|334
2020-02-05|United States|11|0|0|0|328
2020-02-06|United States|12|1|0|0|369
2020-02-07|United States|12|0|0|0|255
2020-02-08|United States|12|0|0|0|260
2020-02-09|United States|12|0|0|0|189
2020-02-10|United States|12|0|0|0|295
2020-02-11|United States|13|1|0|0|310
2020-02-12|United States|13|0|0|0|303
2020-02-13|United States|14|1|0|0|341
2020-02-14|United States|15|1|0|0|292
2020-02-15|United States|15|0|0|0|266
2020-02-16|United States|15|0|0|0|211
2020-02-17|United States|15|0|0|0|315
2020-02-18|United States|15|0|0|0|231
2020-02-19|United States|15|0|0|0|253
2020-02-20|United States|15|0|0|0|293
2020-02-21|United States|16|1|0|0|290
2020-02-22|United States|35|19|0|0|181
2020-02-23|United States|35|0|0|0|141
2020-02-24|United States|35|0|0|0|294
2020-02-25|United States|53|18|0|0|454
2020-02-26|United States|53|0|0|0|577
2020-02-27|United States|59|6|0|0|875
2020-02-28|United States|60|1|0|0|603
2020-02-29|United States|66|6|0|0|500
2020-03-01|United States|69|3|1|1|568
2020-03-02|United States|89|20|2|1|744
2020-03-03|United States|103|14|6|4|885
2020-03-04|United States|125|22|9|3|713
2020-03-05|United States|159|34|11|2|863
2020-03-06|United States|233|74|12|1|873
2020-03-07|United States|338|105|14|2|899
2020-03-08|United States|433|95|17|3|1052
2020-03-09|United States|554|121|21|4|1023
2020-03-10|United States|754|200|26|5|1250
2020-03-11|United States|1025|271|28|2|1320
2020-03-12|United States|1312|287|30|2|1629
2020-03-13|United States|1663|351|40|10|1520
2020-03-14|United States|2174|511|47|7|1402
2020-03-15|United States|2951|777|57|10|1102
2020-03-16|United States|3774|823|69|12|1525
2020-03-17|United States|4661|887|85|16|1564
2020-03-18|United States|6427|1766|108|23|1591
2020-03-19|United States|9415|2988|150|42|1631
2020-03-20|United States|14250|4835|150|0|1764
2020-03-21|United States|19624|5374|260|110|1327
2020-03-22|United States|26747|7123|340|80|1297
2020-03-23|United States|35206|8459|471|131|1936
2020-03-24|United States|46442|11236|590|119|1858
2020-03-25|United States|55231|8789|801|211|1874
2020-03-26|United States|69194|13963|1050|249|1792
2020-03-27|United States|85991|16797|1296|246|1739
2020-03-28|United States|104686|18695|1707|411|1702
2020-03-29|United States|124665|19979|2191|484|1858
2020-03-30|United States|143025|18360|2509|318|2020
2020-03-31|United States|164620|21595|3170|661|1853
2020-04-01|United States|189618|24998|4079|909|2417
2020-04-02|United States|216721|27103|5138|1059|2107
2020-04-03|United States|245540|28819|6053|915|2033
2020-04-04|United States|277965|32425|7157|1104|1747
2020-04-05|United States|312237|34272|8501|1344|1649
2020-04-06|United States|337635|25398|9647|1146|2198
2020-04-07|United States|368196|30561|10989|1342|1939
2020-04-08|United States|398809|30613|12895|1906|1998
2020-04-09|United States|432132|33323|14817|1922|1712
2020-04-10|United States|466033|33901|16690|1873|1782
2020-04-11|United States|501560|35527|18777|2087|1619
2020-04-12|United States|529951|28391|20608|1831|1356
2020-04-13|United States|557571|27620|22108|1500|1812
2020-04-14|United States|582594|25023|23649|1541|1945
2020-04-15|United States|609516|26922|26057|2408|2031
2020-04-16|United States|639664|30148|30985|4928|1929
2020-04-17|United States|671331|31667|33284|2299|1808
2020-04-18|United States|702164|30833|37054|3770|1450
2020-04-19|United States|735086|32922|38910|1856|1246
2020-04-20|United States|759687|24601|40682|1772|1391
2020-04-21|United States|787752|28065|42539|1857|1529
2020-04-22|United States|825041|37289|45063|2524|1544
2020-04-23|United States|842629|17588|46784|1721|1858
2020-04-24|United States|869172|26543|49963|3179|1881
2020-04-25|United States|890524|21352|51017|1054|1246
2020-04-26|United States|939053|48529|53189|2172|1164
2020-04-27|United States|965910|26857|54876|1687|1417
2020-04-28|United States|988451|22541|56245|1369|1436
2020-04-29|United States|1012583|24132|58355|2110|1880
2020-04-30|United States|1039909|27326|60966|2611|1301
