"","date","country","count"
"1",2019-07-01,"US",99
"2",2019-07-02,"US",180
"3",2019-07-03,"US",166
"4",2019-07-04,"US",135
"5",2019-07-05,"US",90
"6",2019-07-06,"US",124
"7",2019-07-07,"US",120
"8",2019-07-08,"US",108
"9",2019-07-09,"US",105
"10",2019-07-10,"US",160
"11",2019-07-11,"US",144
"12",2019-07-12,"US",123
"13",2019-07-13,"US",115
"14",2019-07-14,"US",143
"15",2019-07-15,"US",134
"16",2019-07-16,"US",134
"17",2019-07-17,"US",281
"18",2019-07-18,"US",253
"19",2019-07-19,"US",186
"20",2019-07-20,"US",137
"21",2019-07-21,"US",85
"22",2019-07-22,"US",165
"23",2019-07-23,"US",153
"24",2019-07-24,"US",201
"25",2019-07-25,"US",135
"26",2019-07-26,"US",165
"27",2019-07-27,"US",112
"28",2019-07-28,"US",111
"29",2019-07-29,"US",178
"30",2019-07-30,"US",131
"31",2019-07-31,"US",136
"32",2019-08-01,"US",163
"33",2019-08-02,"US",156
"34",2019-08-03,"US",135
"35",2019-08-04,"US",191
"36",2019-08-05,"US",153
"37",2019-08-06,"US",132
"38",2019-08-07,"US",143
"39",2019-08-08,"US",235
"40",2019-08-09,"US",90
"41",2019-08-10,"US",68
"42",2019-08-11,"US",47
"43",2019-08-12,"US",124
"44",2019-08-13,"US",220
"45",2019-08-14,"US",173
"46",2019-08-15,"US",175
"47",2019-08-16,"US",132
"48",2019-08-17,"US",88
"49",2019-08-18,"US",80
"50",2019-08-19,"US",131
"51",2019-08-20,"US",163
"52",2019-08-21,"US",170
"53",2019-08-22,"US",184
"54",2019-08-23,"US",216
"55",2019-08-24,"US",216
"56",2019-08-25,"US",97
"57",2019-08-26,"US",259
"58",2019-08-27,"US",384
"59",2019-08-28,"US",272
"60",2019-08-29,"US",261
"61",2019-08-30,"US",313
"62",2019-08-31,"US",114
"63",2019-09-01,"US",384
"64",2019-09-02,"US",203
"65",2019-09-03,"US",373
"66",2019-09-04,"US",307
"67",2019-09-05,"US",207
"68",2019-09-06,"US",183
"69",2019-09-07,"US",143
"70",2019-09-08,"US",170
"71",2019-09-09,"US",225
"72",2019-09-10,"US",216
"73",2019-09-11,"US",252
"74",2019-09-12,"US",282
"75",2019-09-13,"US",173
"76",2019-09-14,"US",128
"77",2019-09-15,"US",129
"78",2019-09-16,"US",368
"79",2019-09-17,"US",249
"80",2019-09-18,"US",244
"81",2019-09-19,"US",294
"82",2019-09-20,"US",213
"83",2019-09-21,"US",162
"84",2019-09-22,"US",162
"85",2019-09-23,"US",193
"86",2019-09-24,"US",188
"87",2019-09-25,"US",287
"88",2019-09-26,"US",287
"89",2019-09-27,"US",233
"90",2019-09-28,"US",172
"91",2019-09-29,"US",167
"92",2019-09-30,"US",249
"93",2019-10-01,"US",166
"94",2019-10-02,"US",168
"95",2019-10-03,"US",238
"96",2019-10-04,"US",204
"97",2019-10-05,"US",151
"98",2019-10-06,"US",128
"99",2019-10-07,"US",175
"100",2019-10-08,"US",117
"101",2019-10-09,"US",207
"102",2019-10-10,"US",170
"103",2019-10-11,"US",214
"104",2019-10-12,"US",158
"105",2019-10-13,"US",100
"106",2019-10-14,"US",151
"107",2019-10-15,"US",141
"108",2019-10-16,"US",183
"109",2019-10-17,"US",128
"110",2019-10-18,"US",134
"111",2019-10-19,"US",69
"112",2019-10-20,"US",84
"113",2019-10-21,"US",164
"114",2019-10-22,"US",168
"115",2019-10-23,"US",163
"116",2019-10-24,"US",147
"117",2019-10-25,"US",156
"118",2019-10-26,"US",130
"119",2019-10-27,"US",144
"120",2019-10-28,"US",214
"121",2019-10-29,"US",180
"122",2019-10-30,"US",257
"123",2019-10-31,"US",194
"124",2019-11-01,"US",196
"125",2019-11-02,"US",135
"126",2019-11-03,"US",131
"127",2019-11-04,"US",161
"128",2019-11-05,"US",124
"129",2019-11-06,"US",139
"130",2019-11-07,"US",262
"131",2019-11-08,"US",205
"132",2019-11-09,"US",144
"133",2019-11-10,"US",153
"134",2019-11-11,"US",156
"135",2019-11-12,"US",202
"136",2019-11-13,"US",181
"137",2019-11-14,"US",154
"138",2019-11-15,"US",178
"139",2019-11-16,"US",156
"140",2019-11-17,"US",128
"141",2019-11-18,"US",184
"142",2019-11-19,"US",164
"143",2019-11-20,"US",186
"144",2019-11-21,"US",171
"145",2019-11-22,"US",119
"146",2019-11-23,"US",120
"147",2019-11-24,"US",90
"148",2019-11-25,"US",97
"149",2019-11-26,"US",141
"150",2019-11-27,"US",196
"151",2019-11-28,"US",159
"152",2019-11-29,"US",110
"153",2019-11-30,"US",68
"154",2019-12-01,"US",181
"155",2019-12-02,"US",133
"156",2019-12-03,"US",153
"157",2019-12-04,"US",111
"158",2019-12-05,"US",147
"159",2019-12-06,"US",127
"160",2019-12-07,"US",110
