|theme|correlation|total appearences
0|WB_1618_FOOD_DISTRIBUTION|0.7611961986362374|29739
1|WB_1466_SOCIAL_ASSISTANCE|0.7138500885811586|46011
2|WB_1448_DEMOGRAPHIC_CHANGE|0.7242544917321408|17005
3|WB_1620_ELDERLY|0.7569223532489825|29412
4|WB_1609_FOOD_AND_IN_KIND_TRANSFERS|0.7165262650339326|39149
5|CRISISLEX_T07_SERVICESNEEDEDOFFERED|0.7080894444168037|3787
6|WB_1362_MEDICAL_EQUIPMENT|0.781198655389135|11268
7|WB_2171_NURSING_HOMES|0.7568574726402121|11470
8|WB_1383_HEALTH_MANAGEMENT_AND_ADMINISTRATION|0.746011003528913|4280
9|HEALTH_PANDEMIC|0.7315773428497866|139285
10|WB_631_HUMAN_RESOURCES_FOR_HEALTH|0.7563031543378526|3588
