|theme|correlation|total appearences
0|CRISISLEX_T04_INFRASTRUCTURE|0.7251779399212369|21526
1|CRISISLEX_T11_UPDATESSYMPATHY|0.8072866299086173|140709
2|WB_2165_HEALTH_EMERGENCIES|0.7905048603930264|317578
3|WB_1072_FISCAL_POLICY_AND_GROWTH|0.7121777132735859|2099
4|WB_1070_ECONOMIC_GROWTH_POLICY|0.7109607627492259|2272
5|WB_621_HEALTH_NUTRITION_AND_POPULATION|0.7014687481394782|497017
6|ARMEDCONFLICT|0.742593893277377|105677
7|WB_697_SOCIAL_PROTECTION_AND_LABOR|0.7065852071744393|101544
8|EPU_CATS_NATIONAL_SECURITY|0.7573994300612081|50144
9|WB_635_PUBLIC_HEALTH|0.7692528115436442|345420
10|CRISISLEX_CRISISLEXREC|0.720597426482785|690733
11|CRISISLEX_T02_INJURED|0.8826037800909412|140425
12|CRISISLEX_T01_CAUTION_ADVICE|0.7052686065802631|71323
13|EPU_POLICY_SPENDING|0.8502705586995443|20827
14|WB_1350_PHARMACEUTICALS|0.7264536005652262|79081
15|KILL|0.8416394512226161|329716
16|WB_1331_HEALTH_TECHNOLOGIES|0.7460114073499199|82094
17|CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE|0.8483458075421367|69943
18|UNGP_HEALTHCARE|0.796466510536841|267904
19|WB_1618_FOOD_DISTRIBUTION|0.7853545646328959|59383
20|CRISISLEX_T03_DEAD|0.8697447150848491|195337
21|WB_1609_FOOD_AND_IN_KIND_TRANSFERS|0.7702484840470064|66488
22|WB_1620_ELDERLY|0.781224614742093|58752
23|WB_1466_SOCIAL_ASSISTANCE|0.7542512607244283|69148
24|WB_1448_DEMOGRAPHIC_CHANGE|0.6926029712791857|12846
25|WB_1305_HEALTH_SERVICES_DELIVERY|0.7377517743082573|44286
26|ECON_BUDGET_DEFICIT|0.7015234222379442|11282
27|UNEMPLOYMENT|0.7383503868904127|20346
28|SOC_TRAFFICACCIDENT|-0.7191991871100213|3266
29|MANMADE_DISASTER_TRAFFIC_ACCIDENT|-0.733104917605816|1863
30|UNGP_JOB_OPPORTUNITIES_EMPLOYMENT|0.7103225733402921|19285
31|HEALTH_PANDEMIC|0.8842310755050026|143501
32|WB_2747_UNEMPLOYMENT|0.7206385843294515|12244
33|WB_2167_PANDEMICS|0.7957118260644034|300570
34|WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE|0.7957118260644034|300570
